epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5249,0.97131,2.30731,1.49576,0.05877,0.17183,0.04249,0.01276,1.57891,5.80285,2.07114,0.000300669,0.000300669,0.000300669
2,170.16,1.15696,2.09341,1.63217,0,0,0,0,3.05089,5.94049,3.30304,0.000595701,0.000595701,0.000595701
3,252.072,1.2159,2.16466,1.67463,0,0,0,0,1.84333,6.06123,2.42532,0.000882733,0.000882733,0.000882733
4,345.641,1.18984,2.07563,1.64718,0,0,0,0,1.61796,6.04588,2.15374,0.000873004,0.000873004,0.000873004
5,432.962,1.10891,1.92653,1.59411,0,0,0,0,1.71448,5.8531,2.25094,0.000861005,0.000861005,0.000861005
6,528.151,1.05899,1.8484,1.54153,0,0,0,0,1.49119,6.68753,2.00524,0.000849006,0.000849006,0.000849006
7,615.124,1.02689,1.76856,1.51954,0,0,0,0,1.36991,6.69084,1.96492,0.000837007,0.000837007,0.000837007
8,698.634,0.99718,1.71405,1.49267,0,0,0,0,1.3389,6.37896,1.87809,0.000825008,0.000825008,0.000825008
9,788.244,0.95898,1.66631,1.47764,0,0,0,0,1.48088,6.65071,1.98821,0.00081301,0.00081301,0.00081301
10,881.426,0.93251,1.60655,1.448,0,0,0,0,1.33417,6.65649,1.85526,0.000801011,0.000801011,0.000801011
11,968.499,0.92123,1.56987,1.43111,0,0,0,0,1.34805,6.74835,1.86573,0.000789012,0.000789012,0.000789012
12,1056.83,0.89038,1.49096,1.41224,0,0,0,0,1.34085,7.10179,1.87957,0.000777013,0.000777013,0.000777013
13,1147.64,0.8636,1.48615,1.3938,0,0,0,0,1.34849,6.93004,1.85368,0.000765014,0.000765014,0.000765014
14,1257.93,0.86201,1.44039,1.39863,0,0,0,0,1.43136,7.45317,1.91144,0.000753016,0.000753016,0.000753016
15,1336.6,0.85608,1.43837,1.39312,0,0,0,0,1.33711,7.26758,1.85844,0.000741017,0.000741017,0.000741017
16,1422.5,0.84946,1.42032,1.38653,0,0,0,0,1.29811,7.13836,1.83552,0.000729018,0.000729018,0.000729018
17,1501.88,0.82637,1.36456,1.36994,0,0,0,0,1.44642,7.43107,1.8807,0.000717019,0.000717019,0.000717019
18,1579.61,0.80577,1.32315,1.35317,0,0,0,0,1.37937,7.34578,1.85279,0.00070502,0.00070502,0.00070502
19,1656.87,0.8036,1.3116,1.34765,0,0,0,0,1.28094,7.61101,1.76804,0.000693022,0.000693022,0.000693022
20,1742.12,0.81251,1.31698,1.35518,0,0,0,0,1.30864,7.65676,1.81184,0.000681023,0.000681023,0.000681023
21,1820.22,0.77232,1.25392,1.32077,0,0,0,0,1.40921,7.93456,1.90126,0.000669024,0.000669024,0.000669024
22,1899.28,0.77229,1.24326,1.32567,0,0,0,0,1.37308,7.82493,1.85609,0.000657025,0.000657025,0.000657025
23,1977.85,0.76944,1.21436,1.31869,0,0,0,0,1.39179,7.395,1.88188,0.000645026,0.000645026,0.000645026
24,2055.3,0.7488,1.18735,1.30377,0,0,0,0,1.46819,7.84616,1.93344,0.000633028,0.000633028,0.000633028
25,2132.18,0.74531,1.15549,1.31459,0,0,0,0,1.29287,7.88314,1.77298,0.000621029,0.000621029,0.000621029
26,2210.76,0.72195,1.14926,1.29091,0,0,0,0,1.39789,7.8064,1.80577,0.00060903,0.00060903,0.00060903
27,2293.83,0.73751,1.14854,1.30271,0,0,0,0,1.41595,7.9639,1.83529,0.000597031,0.000597031,0.000597031
28,2381.2,0.71696,1.11928,1.28816,0,0,0,0,1.298,7.89903,1.75022,0.000585032,0.000585032,0.000585032
29,2457.64,0.71129,1.09385,1.28562,0,0,0,0,1.29443,8.06083,1.76519,0.000573034,0.000573034,0.000573034
30,2535.49,0.70907,1.08119,1.27595,0,0,0,0,1.31575,8.02886,1.71798,0.000561035,0.000561035,0.000561035
31,2612.85,0.68941,1.05988,1.26244,0,0,0,0,1.41813,8.13672,1.83098,0.000549036,0.000549036,0.000549036
32,2690.1,0.71264,1.05582,1.27807,0,0,0,0,1.35765,8.28081,1.77606,0.000537037,0.000537037,0.000537037
33,2766.54,0.69098,1.06708,1.26068,0,0,0,0,1.36165,8.28831,1.84651,0.000525038,0.000525038,0.000525038
34,2844.3,0.68812,1.01743,1.26933,0,0,0,0,1.32223,8.15416,1.78739,0.00051304,0.00051304,0.00051304
35,2922.78,0.67415,1.01839,1.25629,0,0,0,0,1.2983,8.08455,1.73935,0.000501041,0.000501041,0.000501041
36,3010.19,0.67461,1.00975,1.25454,0,0,0,0,1.24901,7.96937,1.70247,0.000489042,0.000489042,0.000489042
37,3087.21,0.65703,0.98126,1.24702,0,0,0,0,1.30145,8.04303,1.73116,0.000477043,0.000477043,0.000477043
38,3165.53,0.66383,0.98125,1.24221,0,0,0,0,1.41615,8.32891,1.76553,0.000465044,0.000465044,0.000465044
39,3249.1,0.66102,0.96328,1.24221,0,0,0,0,1.40391,8.18224,1.73426,0.000453046,0.000453046,0.000453046
40,3336.19,0.64754,0.9469,1.23176,0,0,0,0,1.41662,8.23462,1.83206,0.000441047,0.000441047,0.000441047
41,3412.53,0.6376,0.93905,1.23295,0,0,0,0,1.37792,8.38838,1.82084,0.000429048,0.000429048,0.000429048
42,3491.23,0.64815,0.93644,1.2388,0,0,0,0,1.4111,8.25763,1.7911,0.000417049,0.000417049,0.000417049
43,3571.85,0.63861,0.92101,1.22234,0,0,0,0,1.3398,8.34891,1.76566,0.00040505,0.00040505,0.00040505
44,3660.35,0.62175,0.89884,1.21666,0,0,0,0,1.37624,8.33784,1.79435,0.000393052,0.000393052,0.000393052
45,3736.82,0.63369,0.90146,1.21487,0,0,0,0,1.44718,8.58136,1.8698,0.000381053,0.000381053,0.000381053
46,3815.25,0.62131,0.89794,1.21021,0,0,0,0,1.46843,8.39951,1.87382,0.000369054,0.000369054,0.000369054
47,3896.73,0.6192,0.88339,1.21285,0,0,0,0,1.44693,8.499,1.80868,0.000357055,0.000357055,0.000357055
48,3972.89,0.6005,0.83432,1.19601,0,0,0,0,1.4584,8.57374,1.81105,0.000345056,0.000345056,0.000345056
49,4049.65,0.59149,0.82772,1.19239,0,0,0,0,1.36854,8.42575,1.77202,0.000333058,0.000333058,0.000333058
50,4128.4,0.58631,0.82506,1.18685,0,0,0,0,1.46667,8.24303,1.89162,0.000321059,0.000321059,0.000321059
51,4209.01,0.60864,0.83086,1.1988,0,0,0,0,1.32744,8.3555,1.76548,0.00030906,0.00030906,0.00030906
52,4286.85,0.57837,0.79482,1.17751,0,0,0,0,1.53015,8.70434,1.8671,0.000297061,0.000297061,0.000297061
53,4361.98,0.58471,0.79487,1.18292,0,0,0,0,1.40951,8.51951,1.88016,0.000285062,0.000285062,0.000285062
54,4440.53,0.58683,0.81014,1.18331,0,0,0,0,1.57779,8.51533,1.97471,0.000273064,0.000273064,0.000273064
55,4519.2,0.5782,0.78731,1.18001,0,0,0,0,1.45505,8.65126,1.86275,0.000261065,0.000261065,0.000261065
56,4602.48,0.57335,0.76544,1.17738,0,0,0,0,1.51908,8.57309,1.91975,0.000249066,0.000249066,0.000249066
57,4678.19,0.56564,0.76391,1.17073,0,0,0,0,1.53359,8.72428,1.91207,0.000237067,0.000237067,0.000237067
58,4756.54,0.56984,0.73027,1.1729,0,0,0,0,1.50746,8.57678,1.96133,0.000225068,0.000225068,0.000225068
59,4834.08,0.56659,0.74967,1.1731,0,0,0,0,1.5157,8.64614,1.92675,0.00021307,0.00021307,0.00021307
60,4918.64,0.5492,0.72627,1.15328,0,0,0,0,1.48809,8.5667,1.88865,0.000201071,0.000201071,0.000201071
61,4994.35,0.56024,0.73171,1.16281,0,0,0,0,1.70433,8.7329,2.06858,0.000189072,0.000189072,0.000189072
62,5072.08,0.54932,0.71926,1.15628,0,0,0,0,1.35669,8.61926,1.77965,0.000177073,0.000177073,0.000177073
63,5151.92,0.53426,0.72073,1.14764,0,0,0,0,1.5007,8.73251,1.87052,0.000165074,0.000165074,0.000165074
64,5234.96,0.53233,0.6851,1.14401,0,0,0,0,1.56912,8.6905,1.96131,0.000153076,0.000153076,0.000153076
65,5310.67,0.53006,0.68239,1.13366,0,0,0,0,1.53167,8.81895,1.94839,0.000141077,0.000141077,0.000141077
66,5387.47,0.43592,0.57215,1.13835,0,0,0,0,1.76867,8.89958,2.13307,0.000129078,0.000129078,0.000129078
67,5465.22,0.4284,0.51636,1.12245,0,0,0,0,1.57979,8.7095,1.99969,0.000117079,0.000117079,0.000117079
68,5544.07,0.41343,0.4999,1.1062,0,0,0,0,1.71838,8.80611,2.06924,0.00010508,0.00010508,0.00010508
69,5617.89,0.40237,0.48983,1.10108,0,0,0,0,1.68155,8.79224,1.99991,9.30816e-05,9.30816e-05,9.30816e-05
70,5693.89,0.39082,0.45862,1.08222,0,0,0,0,1.81701,8.94458,2.09318,8.10828e-05,8.10828e-05,8.10828e-05
71,5769.65,0.38904,0.46102,1.08679,0,0,0,0,1.8677,8.98542,2.1983,6.9084e-05,6.9084e-05,6.9084e-05
72,5853.43,0.39044,0.45633,1.094,0,0,0,0,1.76145,8.8899,2.08251,5.70852e-05,5.70852e-05,5.70852e-05
73,5928.62,0.38195,0.43865,1.07341,0,0,0,0,1.77644,8.98275,2.13669,4.50864e-05,4.50864e-05,4.50864e-05
74,6006.36,0.36891,0.42194,1.07681,0,0,0,0,1.75746,8.98533,2.18026,3.30876e-05,3.30876e-05,3.30876e-05
75,6082.45,0.35767,0.4103,1.06425,0,0,0,0,1.74762,8.9406,2.16959,2.10888e-05,2.10888e-05,2.10888e-05
